Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type
242,Physical Education - Sports,Soccer Kick (Female),Nil ,No,No,No,No,0
243,Physical Education - Sports,Netball Shoot (Female),Nil ,No,No,No,No,0
260,Physical Education - Athletics,100m (Female),Nil ,No,No,No,No,0
261,Physical Education - Athletics,200m (Female),Nil ,No,No,No,No,0
262,Physical Education - Athletics,400m (Female),Nil ,No,No,No,No,0
263,Physical Education - Athletics,800m (Female),Nil ,No,No,No,No,0
264,Physical Education - Athletics,1500m (Female),Nil ,No,No,No,No,0
265,Physical Education - Athletics,4 x 100m Relay (Female),Nil ,No,No,No,No,0
266,Physical Education - Athletics,Long Jump (Female),Nil ,No,No,No,No,0
267,Physical Education - Athletics,Shot Put (Female),Nil ,No,No,No,No,0
268,Physical Education - Athletics,Discus (Female),Nil ,No,No,No,No,0
269,Physical Education - Sports,Table Tennis - Singles (Female),Nil,No,No,No,No,0
270,Physical Education - Sports,Table Tennis - Doubles (Female),Nil,No,No,No,No,0
271,Physical Education - Sports,Football Kick (Female),Nil,No,No,No,No,0
272,Physical Education - Sports,Soccer Kick (Female),Nil,No,No,No,No,0
273,Physical Education - Sports,Netball Shoot (Female),Nil,No,No,No,No,0
274,Physical Education - Sports,Basketball (Female),Nil,No,No,No,No,0
275,Physical Education - Sports,Tennis - singles (Female),Nil,No,No,No,No,0
276,Physical Education - Sports,Futsal (Female),Nil,No,No,No,No,0
277,Physical Education - Sports,Volleyball (Female),Nil,No,No,No,No,0
300,Exhibits - Manual Arts,Wood Turning,Nil,No,No,No,No,0
301,Exhibits - Manual Arts,Wood Construction,Nil,No,No,No,No,0
302,Exhibits - Manual Arts,Wood Carving,Nil,No,No,No,No,0
303,Exhibits - Manual Arts,Marquetry,Nil,No,No,No,No,0
304,Exhibits - Manual Arts,Metal Sculpture,Nil,No,No,No,No,0
306,Exhibits - Manual Arts,Metal Fabrication,Nil,No,No,No,No,0
307,Exhibits - Manual Arts,Sheet Metal Work,Nil ,No,No,No,No,0
308,Exhibits - Manual Arts,Clay Work - Handbuilt,Nil,No,No,No,No,0
309,Exhibits - Manual Arts,Clay Work - Wheel thrown,Nil,No,No,No,No,0
310,Exhibits - Manual Arts,Scrapbooking,Document ,Yes,No,No,No,1
311,Exhibits - Manual Arts,Flax Construction,Nil,No,No,No,No,0
312,Exhibits - Manual Arts,Bilum Making,Nil,No,No,No,No,0
313,Exhibits - Manual Arts,Sportswear,Nil,No,No,No,No,0
314,Exhibits - Manual Arts,Coats,Nil,No,No,No,No,0
315,Exhibits - Manual Arts,Female Formals,Nil,No,No,No,No,0
316,Exhibits - Manual Arts,Female Dresses,Nil,No,No,No,No,0
318,Exhibits - Manual Arts,Male Three piece outfit,Nil,No,No,No,No,0
320,Exhibits - Manual Arts,Counted Cross Stitch,Nil,No,No,No,No,0
321,Exhibits - Manual Arts,Embroidery,Nil,No,No,No,No,0
322,Exhibits - Manual Arts,Needle Point,Nil ,No,No,No,No,0
323,Exhibits - Manual Arts,Crochet,Nil,No,No,No,No,0
324,Exhibits - Manual Arts,Knitting,Nil,No,No,No,No,0
325,Exhibits - Manual Arts,Quilts,Nil,No,No,No,No,0
326,Exhibits - Manual Arts,Patchwork,Nil,No,No,No,No,0
350,Exhibits - Manual Arts,Wood Turning,Nil,No,No,No,No,0
351,Exhibits - Manual Arts,Wood Construction,Nil,No,No,No,No,0
352,Exhibits - Manual Arts,Wood Carving,Nil,No,No,No,No,0
353,Exhibits - Manual Arts,Marquetry,Nil,No,No,No,No,0
354,Exhibits - Manual Arts,Metal Sculpture,Nil,No,No,No,No,0
356,Exhibits - Manual Arts,Metal Fabrication,Nil,No,No,No,No,0
357,Exhibits - Manual Arts,Sheet Metal Work,Nil,No,No,No,No,0
358,Exhibits - Manual Arts,Clay Work - Handbuilt,Nil,No,No,No,No,0
359,Exhibits - Manual Arts,Clay Work - Wheel thrown,Nil ,No,No,No,No,0
360,Exhibits - Manual Arts,Scrapbooking,Document ,Yes,No,No,No,1
361,Exhibits - Manual Arts,Flax Construction,Nil,No,No,No,No,0
362,Exhibits - Manual Arts,Bilum Making,Nil,No,No,No,No,0
363,Exhibits - Manual Arts,Sportswear,Nil,No,No,No,No,0
364,Exhibits - Manual Arts,Coats,Nil,No,No,No,No,0
365,Exhibits - Manual Arts,Female Formals,Nil,No,No,No,No,0
366,Exhibits - Manual Arts,Female Dresses,Nil,No,No,No,No,0
368,Exhibits - Manual Arts,Male Three piece outfit,Nil,No,No,No,No,0
370,Exhibits - Manual Arts,Counted Cross Stitch,Nil,No,No,No,No,0
371,Exhibits - Manual Arts,Embroidery,Nil,No,No,No,No,0
372,Exhibits - Manual Arts,Needle Point,Nil,No,No,No,No,0
373,Exhibits - Manual Arts,Crochet,Nil,No,No,No,No,0
374,Exhibits - Manual Arts,Knitting,Nil,No,No,No,No,0
375,Exhibits - Manual Arts,Quilts,Nil,No,No,No,No,0
376,Exhibits - Manual Arts,Patchwork,Nil ,No,No,No,No,0
400,Exhibits - Media Arts,Portrait Photo,Image,Yes,No,No,No,1
401,Exhibits - Media Arts,Nature Photo,Image ,Yes,No,No,No,1
402,Exhibits - Media Arts,Structure/Vehicle Photo,Image,Yes,No,No,No,1
403,Exhibits - Media Arts,Scapes Photo,Image,Yes,No,No,No,1
404,Exhibits - Media Arts,Event/Action Photo,Image,Yes,No,No,No,1
405,Exhibits - Media Arts,Macro Photo,Image,Yes,No,No,No,1
406,Exhibits - Media Arts,General Photo,Image,Yes,No,No,No,1
407,Exhibits - Media Arts,Composite Photo,Image,Yes,No,No,No,1
411,Exhibits - Media Arts,Digital Art,Image,Yes,Yes,No,No,1
412,Exhibits - Media Arts,Posters,Image,Yes,Yes,No,No,1
413,Exhibits - Media Arts,Graphic Design,Image,Yes,Yes,No,No,1
414,Exhibits - Media Arts,Linear Powerpoint Presentation,Document ,no,Yes,No,No,2
415,Exhibits - Media Arts,Non-Linear Powerpoint Presentation,Document ,no,Yes,No,No,2
450,Exhibits - Media Arts,Portrait Photo,Image,Yes,No,No,No,1
451,Exhibits - Media Arts,Nature Photo,Image,Yes,No,No,No,1
452,Exhibits - Media Arts,Structure/Vehicle Photo,Image,Yes,No,No,No,1
453,Exhibits - Media Arts,Scapes Photo,Image,Yes,No,No,No,1
454,Exhibits - Media Arts,Event/Action Photo,Image,Yes,No,No,No,1
455,Exhibits - Media Arts,Macro Photo,Image,Yes,No,No,No,1
456,Exhibits - Media Arts,General Photo,Image,Yes,No,No,No,1
457,Exhibits - Media Arts,Composite Photo,Image,Yes,No,No,No,1
461,Exhibits - Media Arts,Digital Art,Image,Yes,Yes,No,No,1
462,Exhibits - Media Arts,Posters,Document ,Yes,Yes,No,No,1
463,Exhibits - Media Arts,Graphic Design,Document ,Yes,Yes,No,No,1
464,Exhibits - Media Arts,Linear Powerpoint Presentation,Document ,No,Yes,No,No,2
465,Exhibits - Media Arts,Non-Linear Powerpoint Presentation,Document ,No,Yes,No,NO,2
466,Exhibits - Media Arts,Web Site Development,Document ,No,Yes,No,No,2
467,Exhibits - Media Arts,Radio Play,Video/Audio ,Yes,Yes,No,Yes,2
468,Exhibits - Media Arts,Video Production,Video ,Yes,Yes,No,Yes,2
500,Exhibits - Visual Arts,Oil,Image,Yes,No,No,No,0
501,Exhibits - Visual Arts,Watercolour,Image ,Yes,No,No,No,1
502,Exhibits - Visual Arts,Acrylics,Image ,Yes,No,No,No,0
503,Exhibits - Visual Arts,Sketching,Image ,Yes,No,No,No,1
504,Exhibits - Visual Arts,Pastels,Image ,Yes,No,No,No,0
505,Exhibits - Visual Arts,Coloured Pencils,Image ,Yes,No,No,No,1
506,Exhibits - Visual Arts,Pen and Ink,Image ,Yes,No,No,No,1
507,Exhibits - Visual Arts,Prints,Image ,Yes,No,No,No,0
508,Exhibits - Visual Arts,Mixed Media,Image ,Yes,No,No,No,0
509,Exhibits - Visual Arts,Comic Strip,Image ,Yes,No,No,No,1
510,Exhibits - Visual Arts,Geometric Abstract,Image ,Yes,No,No,No,1
550,Exhibits - Visual Arts,Oil,Image ,Yes,No,No,No,0
551,Exhibits - Visual Arts,Watercolour,Image ,Yes,No,No,No,1
552,Exhibits - Visual Arts,Acrylics,Image ,Yes,No,No,No,0
553,Exhibits - Visual Arts,Sketching,Image ,Yes,No,No,No,1
554,Exhibits - Visual Arts,Xpastels,Image ,Yes,No,No,No,0
555,Exhibits - Visual Arts,Coloured Pencils,Image ,Yes,No,No,No,1
556,Exhibits - Visual Arts,Pen and Ink,Image ,Yes,No,No,No,1
557,Exhibits - Visual Arts,Prints,Image ,Yes,No,No,No,0
558,Exhibits - Visual Arts,Mixed Media,Image ,Yes,No,No,No,0
559,Exhibits - Visual Arts,Comic Strip,Image ,Yes,No,No,No,1
560,Exhibits - Visual Arts,Geometric Abstract,Image ,Yes,No,No,No,1
600,Music - Combined,Self Accompanied Solo,Video,No,Yes,Yes,No,1
601,Music - Combined,Self Accompanied Duet,Video,No,Yes,Yes,No,0
602,Music - Combined,Self Accompanied Trio,Video,No,Yes,Yes,No,0
603,Music - Combined,Self Accompanied Small Group,Video ,No,Yes,Yes,No,1
650,Music - Combined,Self Accompanied Solo,Video,No,Yes,Yes,No,1
651,Music - Combined,Self Accompanied Duet,Video,No,Yes,Yes,No,0
652,Music - Combined,Self Accompanied Trio,Video,No,Yes,Yes,No,0
653,Music - Combined,Self Accompanied Small Group,Video,No,Yes,Yes,No,1
654,Music - Combined,Combined Ensemble,Video ,No,Yes,Yes,No,1
700,Music - Instrumental,Piano Solo,Video ,No,Yes,Yes,No,1
702,Music - Instrumental,Instrumental Solo,Video,No,Yes,Yes,No,1
703,Music - Instrumental,String Solo - Plucked,Video,No,Yes,Yes,No,0
704,Music - Instrumental,String Solo - Bow,Video,No,Yes,Yes,No,0
705,Music - Instrumental,Brass Solo,Video,No,Yes,Yes,No,0
706,Music - Instrumental,Tambourine Solo,Video ,No,Yes,Yes,No,1
707,Music - Instrumental,Miscellaneous Solo,Video ,No,Yes,Yes,No,0
708,Music - Instrumental,Piano Duet,Video,No,Yes,Yes,No,1
709,Music - Instrumental,Instrumental Duet,Video,No,Yes,Yes,No,0
710,Music - Instrumental,Tambourine Duet,Video,No,Yes,Yes,No,0
711,Music - Instrumental,Instrumental Trio,Video,No,Yes,Yes,No,0
712,Music - Instrumental,Tambourine Trio,Video ,No,Yes,Yes,No,0
713,Music - Instrumental,Instrumental Small Group,Video ,No,Yes,Yes,No,1
714,Music - Instrumental,Tambourine Small Group,Video,No,Yes,Yes,No,1
715,Music - Instrumental,Music Instrumental Composition,Video,No,Yes,Yes,No,2
716,Music - Instrumental,Music Instrumental Arranging,Video,No,Yes,Yes,No,2
750,Music - Instrumental,Piano Solo,Video,No,Yes,Yes,No,1
752,Music - Instrumental,Instrumental Solo,Video ,No,Yes,Yes,No,1
753,Music - Instrumental,String Solo - Plucked,Video ,No,Yes,Yes,No,0
754,Music - Instrumental,String Solo - Bow,Video,No,Yes,Yes,No,0
755,Music - Instrumental,Brass Solo,Video,No,Yes,Yes,No,0
756,Music - Instrumental,Tambourine Solo,Video,No,Yes,Yes,No,1
757,Music - Instrumental,Miscellaneous Solo,Video,No,Yes,Yes,No,0
758,Music - Instrumental,Piano Duet,Video ,No,Yes,Yes,No,1
764,Music - Instrumental,Instrumental Duet,Video ,No,Yes,Yes,No,0
770,Music - Instrumental,Tambourine Duet,Video,No,Yes,Yes,No,0
771,Music - Instrumental,Instrumental Trio,Video,No,Yes,Yes,No,0
772,Music - Instrumental,Tambourine Trio,Video,No,Yes,Yes,No,0
773,Music - Instrumental,Instrumental Small Group,Video,No,Yes,Yes,No,1
774,Music - Instrumental,Tambourine Small Group,Video ,No,Yes,Yes,No,1
775,Music - Instrumental,Music Instrumental Composition,Video ,No,Yes,Yes,No,2
776,Music - Instrumental,Music Instrumental Arranging,Video,No,Yes,Yes,No,2
777,Music - Instrumental,Instrumental Ensemble,Video,No,Yes,Yes,No,1
778,Music - Instrumental,Tambourine Ensemble,Video,No,Yes,Yes,No,1
779,Music - Instrumental,Handbell Ensemble,Video,No,Yes,Yes,No,1
800,Music - Vocal,Male Solo,Video ,No,Yes,Yes,No,1
801,Music - Vocal,Male Duet,Video ,No,Yes,Yes,No,0
802,Music - Vocal,Male Trio,Video,No,Yes,Yes,No,0
803,Music - Vocal,Male Quartet,Video,No,Yes,Yes,No,1
804,Music - Vocal,Female Solo,Video,No,Yes,Yes,No,1
805,Music - Vocal,Female Duet,Video,No,Yes,Yes,No,0
806,Music - Vocal,Female Trio,Video ,No,Yes,Yes,No,0
807,Music - Vocal,Female Quartet,Video ,No,Yes,Yes,No,1
808,Music - Vocal,Mixed Duet,Video,No,Yes,Yes,No,0
809,Music - Vocal,Mixed Trio,Video,No,Yes,Yes,No,0
810,Music - Vocal,Vocal Small Group,Video,No,Yes,Yes,No,1
813,Music - Vocal,Music Vocal Composition,Video,No,Yes,Yes,No,2
814,Music - Vocal,Music Vocal Arranging,Video ,No,Yes,Yes,No,2
850,Music - Vocal,Male Solo,Video ,No,Yes,Yes,No,1
