Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type,EventGrpName,EventGender,GroupEvent,MinNo,MaxNo
200,Physical Education - Athletics,100m (Female),Nil ,No,No,No,No,0,1,F,FALSE,1,1
201,Physical Education - Athletics,200m (Female),Nil ,No,No,No,No,0,1,F,FALSE,1,1
202,Physical Education - Athletics,400m (Female),Nil ,No,No,No,No,0,1,F,FALSE,1,1
203,Physical Education - Athletics,800m (Female),Nil ,No,No,No,No,0,1,F,FALSE,1,1
204,Physical Education - Athletics,1500m (Female),Nil ,No,No,No,No,0,1,F,FALSE,1,1
205,Physical Education - Athletics,4 x 100m Relay (Female),Nil ,No,No,No,No,0,1,F,TRUE,4,5
206,Physical Education - Athletics,Long Jump (Female),Nil ,No,No,No,No,0,1,F,FALSE,1,1
209,Physical Education - Sports,Table Tennis - Singles (Female),Nil ,No,No,No,No,0,1,F,FALSE,1,1
210,Physical Education - Sports,Table Tennis - Doubles (Female),Nil ,No,No,No,No,0,1,F,TRUE,2,2
211,Physical Education - Sports,Football Kick (Female),Nil ,No,No,No,No,0,1,F,FALSE,1,1
212,Physical Education - Sports,Soccer Kick (Female),Nil ,No,No,No,No,0,1,F,FALSE,1,1
213,Physical Education - Sports,Netball Shoot (Female),Nil ,No,No,No,No,0,1,F,FALSE,1,1
230,Physical Education - Athletics,100m (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
231,Physical Education - Athletics,200m (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
232,Physical Education - Athletics,400m (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
233,Physical Education - Athletics,800m (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
234,Physical Education - Athletics,1500m (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
235,Physical Education - Athletics,4 x 100m Relay (Female),Nil ,No,No,No,No,0,3,F,TRUE,4,5
236,Physical Education - Athletics,Long Jump (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
237,Physical Education - Athletics,Shot Put (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
238,Physical Education - Athletics,Discus (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
239,Physical Education - Sports,Table Tennis - Singles (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
240,Physical Education - Sports,Table Tennis - Doubles (Female),Nil ,No,No,No,No,0,3,F,TRUE,2,2
241,Physical Education - Sports,Football Kick (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
242,Physical Education - Sports,Soccer Kick (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
243,Physical Education - Sports,Netball Shoot (Female),Nil ,No,No,No,No,0,3,F,FALSE,1,1
260,Physical Education - Athletics,100m (Female),Nil ,No,No,No,No,0,4,F,FALSE,1,1
261,Physical Education - Athletics,200m (Female),Nil ,No,No,No,No,0,4,F,FALSE,1,1
262,Physical Education - Athletics,400m (Female),Nil ,No,No,No,No,0,4,F,FALSE,1,1
263,Physical Education - Athletics,800m (Female),Nil ,No,No,No,No,0,4,F,FALSE,1,1
264,Physical Education - Athletics,1500m (Female),Nil ,No,No,No,No,0,4,F,FALSE,1,1
265,Physical Education - Athletics,4 x 100m Relay (Female),Nil ,No,No,No,No,0,4,F,TRUE,4,5
266,Physical Education - Athletics,Long Jump (Female),Nil ,No,No,No,No,0,4,F,FALSE,1,1
267,Physical Education - Athletics,Shot Put (Female),Nil ,No,No,No,No,0,4,F,FALSE,1,1
268,Physical Education - Athletics,Discus (Female),Nil ,No,No,No,No,0,4,F,FALSE,1,1
269,Physical Education - Sports,Table Tennis - Singles (Female),Nil,No,No,No,No,0,4,F,FALSE,1,1
