Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Event Type,EventGrpName,EventGender,GroupEvent,MinNo,MaxNo,TeamEvent,SetupTime,RoundTime,JudgingTime,EventKindId,HasToBeConsecutive,CompetitorsPerRound,NeedsSchedule
186,Physical Education - Sports,Netball Shoot (Female),Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
200,Physical Education - Athletics,100m (Female),Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
201,Physical Education - Athletics,200m (Female),Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
202,Physical Education - Athletics,400m (Female),Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
205,Physical Education - Athletics,4 x 100m Relay (Female),Nil,No,No,No,No,0,1,F,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
211,Physical Education - Sports,Football Kick (Female),Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
212,Physical Education - Sports,Soccer Kick (Female),Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
213,Physical Education - Sports,Netball Shoot (Female),Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
230,Physical Education - Athletics,100m (Female),Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
231,Physical Education - Athletics,200m (Female),Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
232,Physical Education - Athletics,400m (Female),Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
235,Physical Education - Athletics,4 x 100m Relay (Female),Nil,No,No,No,No,0,3,F,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
241,Physical Education - Sports,Football Kick (Female),Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
242,Physical Education - Sports,Soccer Kick (Female),Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
243,Physical Education - Sports,Netball Shoot (Female),Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
260,Physical Education - Athletics,100m (Female),Nil,No,No,No,No,0,4,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
261,Physical Education - Athletics,200m (Female),Nil,No,No,No,No,0,4,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
262,Physical Education - Athletics,400m (Female),Nil,No,No,No,No,0,4,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
265,Physical Education - Athletics,4 x 100m Relay (Female),Nil,No,No,No,No,0,4,F,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
271,Physical Education - Sports,Football Kick (Female),Nil,No,No,No,No,0,4,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
272,Physical Education - Sports,Soccer Kick (Female),Nil,No,No,No,No,0,4,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
273,Physical Education - Sports,Netball Shoot (Female),Nil,No,No,No,No,0,4,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
276,Physical Education - Sports,Futsal (Female),Nil,No,No,No,No,0,4,F,TRUE,5,10,TRUE,0,20,0,Judged,FALSE,0,1
277,Physical Education - Sports,Volleyball (Female),Nil,No,No,No,No,0,4,F,TRUE,6,10,TRUE,0,20,0,Judged,FALSE,0,1
570,Music - Combined,Self Accompanied Solo,Document ,No,Yes,Yes,No,1,5,,FALSE,1,1,FALSE,2,4,0,Sequential,TRUE,0,1
571,Music - Combined,Self Accompanied Duet,Document ,No,Yes,Yes,No,0,5,,TRUE,2,2,TRUE,2,4,0,Sequential,TRUE,0,1
572,Music - Combined,Self Accompanied Trio,Document ,No,Yes,Yes,No,0,5,,TRUE,3,3,TRUE,2,4,0,Sequential,TRUE,0,1
573,Music - Combined,Self Accompanied Quartet,Document ,No,Yes,Yes,No,0,5,,TRUE,4,4,TRUE,2,4,0,Sequential,TRUE,0,1
580,Music - Instrumental,Piano Solo,Document ,No,Yes,Yes,No,1,5,,FALSE,1,1,FALSE,2,4,0,Sequential,TRUE,0,1
582,Music - Instrumental,Woodwind,Document ,No,Yes,Yes,No,1,5,,FALSE,1,1,FALSE,2,4,0,Sequential,TRUE,0,1
583,Music - Instrumental,String Solo - Plucked,Document ,No,Yes,Yes,No,0,5,,FALSE,1,1,FALSE,2,4,0,Sequential,TRUE,0,1
584,Music - Instrumental,String Solo - Bow,Document ,No,Yes,Yes,No,0,5,,FALSE,1,1,FALSE,2,4,0,Sequential,TRUE,0,1
585,Music - Instrumental,Brass Solo,Document ,No,Yes,Yes,No,0,5,,FALSE,1,1,FALSE,2,4,0,Sequential,TRUE,0,1
586,Music - Instrumental,Tambourine Solo,Document ,No,Yes,Yes,No,1,5,,FALSE,1,1,FALSE,2,4,0,Sequential,TRUE,0,1
587,Music - Instrumental,Miscellaneous Solo,Document ,No,Yes,Yes,No,0,5,,FALSE,1,1,FALSE,2,4,0,Sequential,TRUE,0,1
